Date,Temperature1,Humidity1,Temperature2,Humidity2,Soil Moisture,VOC,CO2
"22-02-23,12:06:20,",21.26153964,56.98161288,21.28824292,55.72655833,79.07377737,0,593.4517212
"22-02-23,12:06:22,",21.27756161,56.96063172,21.28023194,55.67315175,79.0920882,0,594.0408325
"22-02-23,12:06:24,",21.27756161,56.96826123,21.28557259,55.67887388,79.08293278,0,594.1439819
"22-02-23,12:06:27,",21.27222095,56.98352026,21.29358358,55.68078126,79.01121538,0,594.0217285
"22-02-23,12:06:29,",21.28824292,56.96635386,21.29892424,55.68841077,78.98374914,0,593.8446655
"22-02-23,12:06:31,",21.29091325,57.00640879,21.26153964,55.72655833,78.98680095,0,593.7748413
"22-02-23,12:06:34,",21.28824292,57.00640879,21.28557259,55.73037308,78.97917144,0,593.9871216
"22-02-23,12:06:36,",21.27222095,57.02929732,21.29625391,55.74753948,79.01426719,0,594.2913208
"22-02-23,12:06:38,",21.29358358,56.99496452,21.28290227,55.71892882,79.06004425,0,594.6381836
"22-02-23,12:06:41,",21.3042649,56.96826123,21.29625391,55.70366979,79.03868162,0,594.8457031
"22-02-23,12:06:43,",21.29892424,57.06363012,21.29625391,55.73800259,79.03410391,0,594.9074097
"22-02-23,12:06:45,",21.31761654,57.17425803,21.31761654,55.76852064,79.0966659,16812,594.7632446
"22-02-23,12:06:48,",21.30159457,57.22575723,21.33630884,55.8486305,79.07835508,24271,595.0531616
"22-02-23,12:06:50,",21.33096818,57.1857023,21.33363851,55.80285344,79.02952621,6684,595.3352051
"22-02-23,12:06:52,",21.31227588,57.17616541,21.35767147,55.82383459,79.02037079,2858,595.4033203
"22-02-23,12:06:55,",21.3229572,57.14183261,21.33363851,55.82192721,79.00053407,1940,595.5016479
"22-02-23,12:06:57,",21.33363851,57.09796292,21.33630884,55.79331655,78.99748226,1267,595.3417358
"22-02-23,12:06:59,",21.31494621,57.0483711,21.33096818,55.77805753,78.98680095,942,595.5681152
"22-02-23,12:07:02,",21.33897917,57.45273518,21.35233082,55.78568704,78.97459373,741,595.2670288
"22-02-23,12:07:04,",21.33096818,57.53856718,21.3416495,55.95353628,78.98222324,536,595.8297119
"22-02-23,12:07:06,",21.34431983,57.48134585,21.35500114,56.01838712,78.93186847,390,595.7282715
"22-02-23,12:07:09,",21.32562753,57.52140078,21.37369345,56.01838712,78.92423896,277,595.6253052
"22-02-23,12:07:11,",21.35233082,57.50614176,21.36301213,55.92492561,78.91813535,189,595.8453979
"22-02-23,12:07:13,",21.32562753,57.40123598,21.3790341,55.93636988,78.91813535,136,595.5681152
"22-02-23,12:07:16,",21.3790341,57.78271153,21.49118791,56.80422675,78.90592813,70,594.1187744
"22-02-23,12:07:18,",21.42977035,58.84702831,21.61402304,67.26619364,78.87693599,19,630.7409668
"22-02-23,12:07:20,",21.39505608,59.55466545,21.56862745,72.77660792,78.84031434,0,693.6003418
"22-02-23,12:07:23,",21.443122,60.42442969,21.56328679,73.39841306,78.86930648,0,1388.016968
"22-02-23,12:07:25,",21.42175937,60.64568551,21.5819791,71.57495995,78.87388418,0,3164.067139
"22-02-23,12:07:27,",21.39505608,60.52742809,21.57930877,69.15068284,78.8876173,0,5280.633301
